"carat","cut","color","clarity","depth","table","price","x","y","z"
0.41,"Ideal","F","VVS1",61.2,57,1205,4.79,4.85,2.95
0.42,"Ideal","I","IF",62,54,961,4.82,4.85,3
1.23,"Premium","H","VS2",58.5,62,6150,7,6.98,4.09
0.7,"Ideal","E","VS2",62.6,56,3068,5.65,5.69,3.55
0.31,"Premium","D","VS2",62,59,942,4.36,4.32,2.69
1.03,"Good","D","SI2",59.3,58,4671,6.57,6.61,3.91
1,"Premium","E","SI2",62.9,61,3450,6.3,6.23,3.94
0.72,"Very Good","F","SI2",58.5,60,2126,5.86,5.93,3.45
0.5,"Good","E","SI2",58.2,59,1098,5.24,5.27,3.06
0.5,"Ideal","I","SI1",59.8,59,1031,5.18,5.15,3.09
1,"Good","F","VS2",63.2,59,6183,6.3,6.35,4
0.4,"Very Good","I","VVS1",61.5,58,842,4.7,4.76,2.91
0.3,"Ideal","I","VS1",61.6,56,473,4.31,4.36,2.67
0.52,"Ideal","H","VS2",61.6,55,1401,5.19,5.24,3.21
2.05,"Premium","J","VS1",60.1,58,15067,8.25,8.19,4.94
0.7,"Very Good","E","VS1",61.3,60,2952,5.68,5.7,3.49
0.3,"Very Good","H","VS1",63,58,526,4.23,4.28,2.68
0.5,"Very Good","G","VVS2",60,56,2260,5.18,5.21,3.12
1.26,"Ideal","F","SI2",62.7,58,6277,6.91,6.87,4.32
0.3,"Good","I","SI1",63.8,57,506,4.27,4.19,2.7
0.23,"Good","E","VVS1",62.8,62,462,3.9,3.93,2.46
0.56,"Very Good","D","SI1",62.2,63,1378,5.23,5.28,3.27
0.3,"Ideal","D","VS2",62.4,55,790,4.32,4.3,2.69
1.02,"Premium","H","SI1",61.1,58,5084,6.51,6.46,3.96
0.23,"Ideal","E","VS1",61.5,54,586,3.96,3.97,2.44
0.35,"Very Good","E","SI1",61.9,58,614,4.49,4.52,2.79
0.37,"Premium","F","VS2",62.7,58,746,4.55,4.58,2.86
1.57,"Ideal","I","SI1",62.4,53.6,9460,7.42,7.47,4.64
1.19,"Premium","G","VS1",62.6,58,8109,6.78,6.71,4.22
